team,log_attack,log_defence,matches_played,log_attack_shrunk,log_defence_shrunk,attack_shrunk,defence_shrunk,net_raw,net_shrunk
Austria,1.0657413952593646,0.8355091101389766,184,0.690480690913177,0.5413157614984918,1.9946741245579813,1.7182662039968,0.23023228512038807,0.14916492941468518
Hungary,0.8517236417343452,0.6268780472042631,188,0.555986611589153,0.40921205859167176,1.7436604520209527,1.5056309686174911,0.22484559453008213,0.1467745529974812
Vietnam,0.2262078845783756,-0.1427912755508191,66,0.08993867393850567,-0.056772434857554586,1.0941071843632926,0.9448090505106514,0.3689991601291947,0.14671110879606025
Moldova,0.10371011926710028,-0.1249000325592953,176,0.06613434957474204,-0.07964639757404338,1.0683702426122481,0.9234428202837376,0.22861015182639557,0.14578074714878542
Colombia,1.2616480295792376,1.0483210073226277,215,0.8611251614322388,0.7155206875376665,2.365821127404558,2.0452513419421336,0.21332702225660993,0.14560447389457232
Niger,0.520895319542567,-0.08645031332111884,31,0.12326606410258571,-0.020457707732478504,1.1311853487273416,0.9797501314529857,0.6073456328636858,0.1437237718350642
Turkmenistan,-0.024570353581094464,-0.41063224056811576,59,-0.009116675280914597,-0.1523729697705587,0.9909247556036067,0.8586679638171208,0.3860618869870213,0.1432562944896441
Kenya,0.01936124884855488,-0.34216783420338337,62,0.007410474816231821,-0.13095312173215906,1.0074380003351122,0.877258897804716,0.36152908305193826,0.1383635965483909
Denmark,1.1686604113917225,0.9695411236211561,222,0.805722704411744,0.6684413957884989,2.238313553503311,1.9511938105476643,0.19911928777056642,0.13728130862324506
Maldives,-0.7507779525363035,-1.214420543982767,42,-0.22206038390778587,-0.35919480878363536,0.8008670033952808,0.6982383151446189,0.4636425914464636,0.13713442487584948
Serbia,0.9150514630222901,0.7069263969394135,193,0.602747548992905,0.4656545891102622,1.8271320449792767,1.5930566451915789,0.20812506608287662,0.13709295988264275
Vanuatu,-0.582363196798657,-1.773899860637064,13,-0.06699665545808309,-0.20407697511753833,0.9351983291415584,0.8153996032912365,1.191536663838407,0.13708031965945525
Greece,0.9855294709292624,0.7846670658545017,207,0.6645104233680016,0.5290751877259995,1.9435387772112938,1.6973618414724227,0.2008624050747606,0.1354352356420021
